ate,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri Aug 3 2007,Los Angeles Sparks,56,Houston Comets,66,Box Score
Fri Aug 3 2007,Seattle Storm,76,Sacramento Monarchs,82,Box Score
Fri Aug 3 2007,New York Liberty,68,Washington Mystics,80,Box Score
Sat Aug 4 2007,Indiana Fever,59,Connecticut Sun,84,Box Score
Sat Aug 4 2007,Houston Comets,80,Minnesota Lynx,77,Box Score
Sat Aug 4 2007,Los Angeles Sparks,67,San Antonio Silver Stars,86,Box Score
Sat Aug 4 2007,Phoenix Mercury,101,Seattle Storm,111,Box Score
Sun Aug 5 2007,Sacramento Monarchs,55,Indiana Fever,63,Box Score
Sun Aug 5 2007,Chicago Sky,66,Washington Mystics,71,Box Score
Tue Aug 7 2007,Indiana Fever,75,Chicago Sky,70,Box Score
Tue Aug 7 2007,Sacramento Monarchs,81,Connecticut Sun,79,Box Score
Tue Aug 7 2007,New York Liberty,77,Houston Comets,71,Box Score
Tue Aug 7 2007,Phoenix Mercury,96,Los Angeles Sparks,93,Box Score
Tue Aug 7 2007,Seattle Storm,74,Minnesota Lynx,95,Box Score
Tue Aug 7 2007,Washington Mystics,77,San Antonio Silver Stars,73,Box Score
Thu Aug 9 2007,Seattle Storm,70,Detroit Shock,97,Box Score
Thu Aug 9 2007,Washington Mystics,80,Los Angeles Sparks,75,Box Score
Thu Aug 9 2007,New York Liberty,86,Phoenix Mercury,97,Box Score
Thu Aug 9 2007,Sacramento Monarchs,61,San Antonio Silver Stars,72,Box Score
Fri Aug 10 2007,Sacramento Monarchs,75,Houston Comets,83,Box Score
Sat Aug 11 2007,Connecticut Sun,88,Chicago Sky,66,Box Score
Sat Aug 11 2007,Indiana Fever,69,Detroit Shock,74,Box Score
Sat Aug 11 2007,Los Angeles Sparks,83,Phoenix Mercury,100,Box Score
Sat Aug 11 2007,Houston Comets,60,San Antonio Silver Stars,63,Box Score
Sat Aug 11 2007,Washington Mystics,68,Seattle Storm,91,Box Score
Sun Aug 12 2007,Minnesota Lynx,80,Los Angeles Sparks,89,Box Score
Sun Aug 12 2007,Detroit Shock,84,New York Liberty,85,Box Score
Sun Aug 12 2007,Washington Mystics,82,Sacramento Monarchs,86,Box Score
Tue Aug 14 2007,New York Liberty,65,Chicago Sky,77,Box Score
Tue Aug 14 2007,Houston Comets,81,Detroit Shock,73,Box Score
Tue Aug 14 2007,San Antonio Silver Stars,84,Los Angeles Sparks,77,Box Score
Tue Aug 14 2007,Minnesota Lynx,67,Seattle Storm,81,Box Score
Tue Aug 14 2007,Connecticut Sun,64,Washington Mystics,65,Box Score
Wed Aug 15 2007,Connecticut Sun,77,Indiana Fever,74,Box Score
Wed Aug 15 2007,San Antonio Silver Stars,74,Sacramento Monarchs,81,Box Score
Thu Aug 16 2007,Chicago Sky,81,Houston Comets,70,Box Score
Thu Aug 16 2007,Detroit Shock,77,Minnesota Lynx,87,Box Score
Thu Aug 16 2007,New York Liberty,73,Washington Mystics,72,Box Score
Fri Aug 17 2007,Connecticut Sun,66,New York Liberty,74,Box Score
Fri Aug 17 2007,Phoenix Mercury,101,Sacramento Monarchs,91,Box Score
Fri Aug 17 2007,Indiana Fever,59,San Antonio Silver Stars,55,Box Score
Fri Aug 17 2007,Los Angeles Sparks,77,Seattle Storm,97,Box Score
Sun Aug 19 2007,Washington Mystics,76,Connecticut Sun,74,Box Score
Sun Aug 19 2007,Detroit Shock,66,Indiana Fever,72,Box Score
Sun Aug 19 2007,Houston Comets,82,Los Angeles Sparks,72,Box Score
Sun Aug 19 2007,San Antonio Silver Stars,55,Minnesota Lynx,81,Box Score
Sun Aug 19 2007,Chicago Sky,52,New York Liberty,58,Box Score
Sun Aug 19 2007,Sacramento Monarchs,73,Phoenix Mercury,87,Box Score
Thu Aug 23 2007,Indiana Fever,88,Connecticut Sun,93,Box Score
Thu Aug 23 2007,San Antonio Silver Stars,65,Sacramento Monarchs,86,Box Score
Fri Aug 24 2007,Detroit Shock,51,New York Liberty,73,Box Score
Fri Aug 24 2007,Phoenix Mercury,101,Seattle Storm,84,Box Score
Sat Aug 25 2007,Connecticut Sun,59,Indiana Fever,78,Box Score
Sat Aug 25 2007,Sacramento Monarchs,61,San Antonio Silver Stars,86,Box Score
Sun Aug 26 2007,New York Liberty,73,Detroit Shock,76,Box Score
Sun Aug 26 2007,Seattle Storm,89,Phoenix Mercury,95,Box Score
Mon Aug 27 2007,Connecticut Sun,88,Indiana Fever,93,Box Score
Mon Aug 27 2007,Sacramento Monarchs,78,San Antonio Silver Stars,80,Box Score
Tue Aug 28 2007,New York Liberty,70,Detroit Shock,71,Box Score
Thu Aug 30 2007,Phoenix Mercury,102,San Antonio Silver Stars,100,Box Score
Fri Aug 31 2007,Detroit Shock,65,Indiana Fever,75,Box Score
Sat Sep 1 2007,San Antonio Silver Stars,92,Phoenix Mercury,98,Box Score
Sun Sep 2 2007,Indiana Fever,63,Detroit Shock,77,Box Score
Mon Sep 3 2007,Indiana Fever,65,Detroit Shock,81,Box Score
Wed Sep 5 2007,Phoenix Mercury,100,Detroit Shock,108,Box Score
Sat Sep 8 2007,Phoenix Mercury,98,Detroit Shock,70,Box Score
Tue Sep 11 2007,Detroit Shock,88,Phoenix Mercury,83,Box Score
Thu Sep 13 2007,Detroit Shock,76,Phoenix Mercury,77,Box Score
Sun Sep 16 2007,Phoenix Mercury,108,Detroit Shock,92,Box Score
