Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Tue Aug 1 2006,Charlotte Sting,68,San Antonio Silver Stars,65,Box Score
Tue Aug 1 2006,Los Angeles Sparks,74,Washington Mystics,84,Box Score
Thu Aug 3 2006,Los Angeles Sparks,63,Connecticut Sun,72,Box Score
Thu Aug 3 2006,Minnesota Lynx,59,Indiana Fever,69,Box Score
Thu Aug 3 2006,Detroit Shock,67,New York Liberty,75,Box Score
Thu Aug 3 2006,Charlotte Sting,84,Phoenix Mercury,112,Box Score
Thu Aug 3 2006,Sacramento Monarchs,87,San Antonio Silver Stars,69,Box Score
Thu Aug 3 2006,Washington Mystics,78,Seattle Storm,86,Box Score
Fri Aug 4 2006,Detroit Shock,76,Chicago Sky,49,Box Score
Fri Aug 4 2006,Houston Comets,77,Minnesota Lynx,73,Box Score
Sat Aug 5 2006,San Antonio Silver Stars,70,Indiana Fever,76,Box Score
Sat Aug 5 2006,Chicago Sky,69,New York Liberty,80,Box Score
Sat Aug 5 2006,Los Angeles Sparks,80,Phoenix Mercury,96,Box Score
Sat Aug 5 2006,Washington Mystics,95,Sacramento Monarchs,99,Box Score
Sat Aug 5 2006,Charlotte Sting,81,Seattle Storm,87,Box Score
Sun Aug 6 2006,New York Liberty,53,Detroit Shock,65,Box Score
Sun Aug 6 2006,Connecticut Sun,86,Houston Comets,67,Box Score
Sun Aug 6 2006,San Antonio Silver Stars,68,Minnesota Lynx,82,Box Score
Tue Aug 8 2006,Houston Comets,57,Charlotte Sting,68,Box Score
Tue Aug 8 2006,Connecticut Sun,85,Chicago Sky,59,Box Score
Tue Aug 8 2006,Seattle Storm,81,Detroit Shock,79,Box Score
Tue Aug 8 2006,Indiana Fever,77,New York Liberty,44,Box Score
Tue Aug 8 2006,Minnesota Lynx,68,Phoenix Mercury,99,Box Score
Tue Aug 8 2006,San Antonio Silver Stars,79,Washington Mystics,91,Box Score
Wed Aug 9 2006,Connecticut Sun,71,Indiana Fever,63,Box Score
Wed Aug 9 2006,Sacramento Monarchs,58,Los Angeles Sparks,69,Box Score
Thu Aug 10 2006,Chicago Sky,48,Detroit Shock,82,Box Score
Thu Aug 10 2006,Phoenix Mercury,111,Houston Comets,110,Box Score
