Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sun Jun 27 2021,Los Angeles Sparks,79,Phoenix Mercury,88,Box Score,Commissioner's Cup Game
Tue Jun 29 2021,New York Liberty,69,Atlanta Dream,73,Box Score,
Tue Jun 29 2021,Connecticut Sun,90,Washington Mystics,71,Box Score,Commissioner's Cup Game
Wed Jun 30 2021,Chicago Sky,91,Dallas Wings,81,Box Score,
Wed Jun 30 2021,Las Vegas Aces,99,Los Angeles Sparks,75,Box Score,Commissioner's Cup Game
Wed Jun 30 2021,Minnesota Lynx,82,Phoenix Mercury,76,Box Score,Commissioner's Cup Game
Thu Jul 1 2021,Connecticut Sun,86,Indiana Fever,80,Box Score,Commissioner's Cup Game
Fri Jul 2 2021,Chicago Sky,91,Dallas Wings,100,Box Score,
Fri Jul 2 2021,Las Vegas Aces,66,Los Angeles Sparks,58,Box Score,
Fri Jul 2 2021,Atlanta Dream,88,Seattle Storm,91,Box Score,
Sat Jul 3 2021,Connecticut Sun,67,Indiana Fever,73,Box Score,
Sat Jul 3 2021,Washington Mystics,79,New York Liberty,82,Box Score,Commissioner's Cup Game
Sat Jul 3 2021,Minnesota Lynx,99,Phoenix Mercury,68,Box Score,
Sun Jul 4 2021,Seattle Storm,84,Los Angeles Sparks,74,Box Score,Commissioner's Cup Game
Sun Jul 4 2021,Atlanta Dream,95,Las Vegas Aces,118,Box Score,
Mon Jul 5 2021,Dallas Wings,96,New York Liberty,99,Box Score,
Wed Jul 7 2021,Phoenix Mercury,99,Las Vegas Aces,90,Box Score,Commissioner's Cup Game
Wed Jul 7 2021,Dallas Wings,79,Minnesota Lynx,85,Box Score,Commissioner's Cup Game
Wed Jul 7 2021,Los Angeles Sparks,62,Seattle Storm,71,Box Score,Commissioner's Cup Game
Fri Jul 9 2021,Atlanta Dream,72,Connecticut Sun,84,Box Score,Commissioner's Cup Game
Fri Jul 9 2021,New York Liberty,69,Indiana Fever,82,Box Score,
Fri Jul 9 2021,Minnesota Lynx,77,Las Vegas Aces,67,Box Score,Commissioner's Cup Game
Fri Jul 9 2021,Seattle Storm,77,Phoenix Mercury,85,Box Score,Commissioner's Cup Game
Sat Jul 10 2021,Washington Mystics,89,Chicago Sky,85,Box Score,Commissioner's Cup Game
Sun Jul 11 2021,Indiana Fever,79,Atlanta Dream,68,Box Score,Commissioner's Cup Game
Sun Jul 11 2021,Las Vegas Aces,95,Dallas Wings,79,Box Score,Commissioner's Cup Game
Sun Jul 11 2021,Minnesota Lynx,86,Los Angeles Sparks,61,Box Score,Commissioner's Cup Game
Sun Jul 11 2021,Connecticut Sun,71,New York Liberty,54,Box Score,Commissioner's Cup Game
Sun Jul 11 2021,Phoenix Mercury,75,Seattle Storm,82,Box Score,Commissioner's Cup Game
Sun Aug 15 2021,Seattle Storm,85,Chicago Sky,87,Box Score,
Sun Aug 15 2021,Connecticut Sun,80,Dallas Wings,59,Box Score,
Sun Aug 15 2021,Indiana Fever,70,Los Angeles Sparks,75,Box Score,
Sun Aug 15 2021,Washington Mystics,83,Las Vegas Aces,84,Box Score,
Sun Aug 15 2021,New York Liberty,78,Minnesota Lynx,88,Box Score,
Sun Aug 15 2021,Atlanta Dream,81,Phoenix Mercury,92,Box Score,
Tue Aug 17 2021,Dallas Wings,80,Chicago Sky,76,Box Score,
Tue Aug 17 2021,Minnesota Lynx,60,Connecticut Sun,72,Box Score,
Tue Aug 17 2021,Atlanta Dream,80,Los Angeles Sparks,85,Box Score,
Tue Aug 17 2021,Washington Mystics,83,Las Vegas Aces,93,Box Score,
Tue Aug 17 2021,Indiana Fever,80,Phoenix Mercury,84,Box Score,
Wed Aug 18 2021,Seattle Storm,79,New York Liberty,83,Box Score,
Thu Aug 19 2021,Minnesota Lynx,71,Connecticut Sun,82,Box Score,
Thu Aug 19 2021,Atlanta Dream,64,Los Angeles Sparks,66,Box Score,
Thu Aug 19 2021,Washington Mystics,64,Phoenix Mercury,77,Box Score,
Fri Aug 20 2021,Indiana Fever,83,Dallas Wings,81,Box Score,
Fri Aug 20 2021,Seattle Storm,99,New York Liberty,83,Box Score,
Sat Aug 21 2021,Phoenix Mercury,84,Atlanta Dream,69,Box Score,
Sat Aug 21 2021,Minnesota Lynx,101,Chicago Sky,95,Box Score,
Sun Aug 22 2021,Los Angeles Sparks,86,New York Liberty,83,Box Score,
Sun Aug 22 2021,Seattle Storm,85,Washington Mystics,78,Box Score,
Tue Aug 24 2021,Chicago Sky,86,Atlanta Dream,79,Box Score,
Tue Aug 24 2021,Las Vegas Aces,62,Connecticut Sun,76,Box Score,
Tue Aug 24 2021,Seattle Storm,70,Minnesota Lynx,76,Box Score,
Tue Aug 24 2021,Los Angeles Sparks,68,Washington Mystics,78,Box Score,
Wed Aug 25 2021,Phoenix Mercury,106,New York Liberty,79,Box Score,
Thu Aug 26 2021,Las Vegas Aces,78,Atlanta Dream,71,Box Score,
Thu Aug 26 2021,Los Angeles Sparks,72,Connecticut Sun,76,Box Score,
Thu Aug 26 2021,Dallas Wings,82,Washington Mystics,77,Box Score,
Fri Aug 27 2021,Phoenix Mercury,80,New York Liberty,64,Box Score,
Fri Aug 27 2021,Chicago Sky,73,Seattle Storm,69,Box Score,
Sat Aug 28 2021,Los Angeles Sparks,61,Connecticut Sun,76,Box Score,
Sat Aug 28 2021,Las Vegas Aces,87,Indiana Fever,71,Box Score,
Sat Aug 28 2021,Dallas Wings,75,Washington Mystics,76,Box Score,
Sun Aug 29 2021,Chicago Sky,107,Seattle Storm,75,Box Score,
Tue Aug 31 2021,Los Angeles Sparks,72,Indiana Fever,74,Box Score,
Tue Aug 31 2021,New York Liberty,66,Minnesota Lynx,74,Box Score,
Tue Aug 31 2021,Chicago Sky,83,Phoenix Mercury,103,Box Score,
Tue Aug 31 2021,Connecticut Sun,85,Washington Mystics,75,Box Score,
Thu Sep 2 2021,Atlanta Dream,68,Dallas Wings,72,Box Score,
Thu Sep 2 2021,Chicago Sky,83,Las Vegas Aces,90,Box Score,
Thu Sep 2 2021,Los Angeles Sparks,57,Minnesota Lynx,66,Box Score,
Thu Sep 2 2021,New York Liberty,75,Seattle Storm,85,Box Score,
Sat Sep 4 2021,Phoenix Mercury,87,Indiana Fever,65,Box Score,
Sat Sep 4 2021,Washington Mystics,75,Minnesota Lynx,93,Box Score,
Sun Sep 5 2021,Las Vegas Aces,84,Chicago Sky,92,Box Score,
Sun Sep 5 2021,Atlanta Dream,69,Dallas Wings,64,Box Score,
Mon Sep 6 2021,Phoenix Mercury,86,Indiana Fever,81,Box Score,
Tue Sep 7 2021,Connecticut Sun,83,Dallas Wings,56,Box Score,
Tue Sep 7 2021,Washington Mystics,71,Seattle Storm,105,Box Score,
Wed Sep 8 2021,Phoenix Mercury,76,Atlanta Dream,75,Box Score,
Wed Sep 8 2021,Minnesota Lynx,81,Las Vegas Aces,102,Box Score,
Thu Sep 9 2021,Connecticut Sun,75,Los Angeles Sparks,57,Box Score,
Fri Sep 10 2021,Indiana Fever,72,Minnesota Lynx,89,Box Score,
Fri Sep 10 2021,Atlanta Dream,74,Washington Mystics,82,Box Score,
Sat Sep 11 2021,New York Liberty,76,Dallas Wings,77,Box Score,
Sat Sep 11 2021,Connecticut Sun,76,Phoenix Mercury,67,Box Score,
Sun Sep 12 2021,Washington Mystics,79,Chicago Sky,71,Box Score,
Sun Sep 12 2021,Seattle Storm,53,Los Angeles Sparks,81,Box Score,
Sun Sep 12 2021,Indiana Fever,80,Minnesota Lynx,90,Box Score,
Mon Sep 13 2021,Dallas Wings,75,Las Vegas Aces,85,Box Score,
Tue Sep 14 2021,Indiana Fever,78,Atlanta Dream,85,Box Score,
Wed Sep 15 2021,New York Liberty,69,Connecticut Sun,98,Box Score,
Thu Sep 16 2021,Los Angeles Sparks,74,Atlanta Dream,68,Box Score,
Fri Sep 17 2021,Las Vegas Aces,103,Chicago Sky,70,Box Score,
Fri Sep 17 2021,Minnesota Lynx,92,Indiana Fever,73,Box Score,
Fri Sep 17 2021,Washington Mystics,80,New York Liberty,91,Box Score,
Fri Sep 17 2021,Phoenix Mercury,85,Seattle Storm,94,Box Score,
Sun Sep 19 2021,Indiana Fever,87,Chicago Sky,98,Box Score,
Sun Sep 19 2021,Atlanta Dream,64,Connecticut Sun,84,Box Score,
Sun Sep 19 2021,Los Angeles Sparks,84,Dallas Wings,87,Box Score,
Sun Sep 19 2021,Las Vegas Aces,84,Phoenix Mercury,83,Box Score,
Sun Sep 19 2021,Minnesota Lynx,83,Washington Mystics,77,Box Score,
Thu Sep 23 2021,Dallas Wings,64,Chicago Sky,81,Box Score,
Thu Sep 23 2021,New York Liberty,82,Phoenix Mercury,83,Box Score,
Sun Sep 26 2021,Chicago Sky,89,Minnesota Lynx,76,Box Score,
Sun Sep 26 2021,Phoenix Mercury,85,Seattle Storm,80,Box Score,
Tue Sep 28 2021,Chicago Sky,101,Connecticut Sun,95,Box Score,
Tue Sep 28 2021,Phoenix Mercury,90,Las Vegas Aces,96,Box Score,
Thu Sep 30 2021,Chicago Sky,68,Connecticut Sun,79,Box Score,
Thu Sep 30 2021,Phoenix Mercury,117,Las Vegas Aces,91,Box Score,
Sun Oct 3 2021,Connecticut Sun,83,Chicago Sky,86,Box Score,
Sun Oct 3 2021,Las Vegas Aces,60,Phoenix Mercury,87,Box Score,
Wed Oct 6 2021,Connecticut Sun,69,Chicago Sky,79,Box Score,
Wed Oct 6 2021,Las Vegas Aces,93,Phoenix Mercury,76,Box Score,
Fri Oct 8 2021,Phoenix Mercury,87,Las Vegas Aces,84,Box Score,
Sun Oct 10 2021,Chicago Sky,91,Phoenix Mercury,77,Box Score,
Wed Oct 13 2021,Chicago Sky,86,Phoenix Mercury,91,Box Score,
Fri Oct 15 2021,Phoenix Mercury,50,Chicago Sky,86,Box Score,
Sun Oct 17 2021,Phoenix Mercury,74,Chicago Sky,80,Box Score,
