Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu May 19 2022,Dallas Wings,94,Phoenix Mercury,84,Box Score,Commissioner's Cup Game
Fri May 20 2022,Washington Mystics,78,Atlanta Dream,73,Box Score,Commissioner's Cup Game
Fri May 20 2022,Indiana Fever,85,Connecticut Sun,94,Box Score,Commissioner's Cup Game
Fri May 20 2022,Los Angeles Sparks,80,Seattle Storm,83,Box Score,Commissioner's Cup Game
Sat May 21 2022,Minnesota Lynx,78,Dallas Wings,94,Box Score,Commissioner's Cup Game
Sat May 21 2022,Phoenix Mercury,80,Las Vegas Aces,100,Box Score,
Sun May 22 2022,Connecticut Sun,92,Indiana Fever,70,Box Score,Commissioner's Cup Game
Sun May 22 2022,Chicago Sky,82,Washington Mystics,73,Box Score,Commissioner's Cup Game
Mon May 23 2022,Los Angeles Sparks,76,Las Vegas Aces,104,Box Score,Commissioner's Cup Game
Tue May 24 2022,Indiana Fever,90,Chicago Sky,95,Box Score,Commissioner's Cup Game
Tue May 24 2022,Dallas Wings,85,Connecticut Sun,77,Box Score,
Tue May 24 2022,New York Liberty,78,Minnesota Lynx,84,Box Score,
Tue May 24 2022,Atlanta Dream,50,Washington Mystics,70,Box Score,Commissioner's Cup Game
Wed May 25 2022,Phoenix Mercury,94,Los Angeles Sparks,99,Box Score,Commissioner's Cup Game
Thu May 26 2022,Dallas Wings,68,Connecticut Sun,99,Box Score,
Fri May 27 2022,Los Angeles Sparks,96,Indiana Fever,101,Box Score,
Fri May 27 2022,New York Liberty,71,Seattle Storm,79,Box Score,
Sat May 28 2022,Las Vegas Aces,83,Chicago Sky,76,Box Score,
Sat May 28 2022,Washington Mystics,71,Connecticut Sun,79,Box Score,Commissioner's Cup Game
Sun May 29 2022,Phoenix Mercury,54,Atlanta Dream,81,Box Score,
Sun May 29 2022,Los Angeles Sparks,85,Minnesota Lynx,83,Box Score,Commissioner's Cup Game
Sun May 29 2022,New York Liberty,61,Seattle Storm,92,Box Score,
Tue May 31 2022,Phoenix Mercury,70,Chicago Sky,73,Box Score,
Tue May 31 2022,Washington Mystics,87,Indiana Fever,75,Box Score,Commissioner's Cup Game
Tue May 31 2022,Dallas Wings,91,Los Angeles Sparks,93,Box Score,Commissioner's Cup Game
Tue May 31 2022,Connecticut Sun,81,Las Vegas Aces,89,Box Score,
Wed Jun 1 2022,Minnesota Lynx,76,Atlanta Dream,84,Box Score,
Wed Jun 1 2022,Indiana Fever,74,New York Liberty,87,Box Score,
Thu Jun 2 2022,Connecticut Sun,97,Las Vegas Aces,90,Box Score,
Fri Jun 3 2022,Chicago Sky,73,Atlanta Dream,65,Box Score,Commissioner's Cup Game
Fri Jun 3 2022,Connecticut Sun,92,Phoenix Mercury,88,Box Score,
Fri Jun 3 2022,Dallas Wings,68,Seattle Storm,51,Box Score,Commissioner's Cup Game
Fri Jun 3 2022,New York Liberty,74,Washington Mystics,70,Box Score,Commissioner's Cup Game
Sun Jun 5 2022,Indiana Fever,66,Atlanta Dream,75,Box Score,Commissioner's Cup Game
Sun Jun 5 2022,Washington Mystics,82,Chicago Sky,91,Box Score,Commissioner's Cup Game
Sun Jun 5 2022,Dallas Wings,78,Las Vegas Aces,84,Box Score,Commissioner's Cup Game
Sun Jun 5 2022,Minnesota Lynx,84,New York Liberty,77,Box Score,
Sun Jun 5 2022,Los Angeles Sparks,74,Phoenix Mercury,81,Box Score,Commissioner's Cup Game
Sun Jun 5 2022,Connecticut Sun,93,Seattle Storm,86,Box Score,
Tue Jun 7 2022,Minnesota Lynx,69,New York Liberty,88,Box Score,
Tue Jun 7 2022,Atlanta Dream,60,Seattle Storm,72,Box Score,
Wed Jun 8 2022,Indiana Fever,69,Connecticut Sun,88,Box Score,
Wed Jun 8 2022,Chicago Sky,82,Washington Mystics,84,Box Score,
Fri Jun 10 2022,Chicago Sky,83,Connecticut Sun,79,Box Score,Commissioner's Cup Game
Fri Jun 10 2022,Seattle Storm,89,Dallas Wings,88,Box Score,Commissioner's Cup Game
Fri Jun 10 2022,New York Liberty,97,Indiana Fever,83,Box Score,Commissioner's Cup Game
Fri Jun 10 2022,Washington Mystics,76,Minnesota Lynx,59,Box Score,
Fri Jun 10 2022,Atlanta Dream,88,Phoenix Mercury,90,Box Score,
Sat Jun 11 2022,Las Vegas Aces,89,Los Angeles Sparks,72,Box Score,Commissioner's Cup Game
Sun Jun 12 2022,Seattle Storm,84,Dallas Wings,79,Box Score,
Sun Jun 12 2022,Indiana Fever,84,Minnesota Lynx,80,Box Score,
Sun Jun 12 2022,Chicago Sky,88,New York Liberty,86,Box Score,Commissioner's Cup Game
Sun Jun 12 2022,Phoenix Mercury,99,Washington Mystics,90,Box Score,
Tue Jun 14 2022,Seattle Storm,81,Minnesota Lynx,79,Box Score,Commissioner's Cup Game
Tue Jun 14 2022,Phoenix Mercury,65,Washington Mystics,83,Box Score,
Wed Jun 15 2022,Atlanta Dream,92,Connecticut Sun,105,Box Score,Commissioner's Cup Game
Wed Jun 15 2022,Las Vegas Aces,92,Dallas Wings,84,Box Score,Commissioner's Cup Game
Wed Jun 15 2022,Phoenix Mercury,93,Indiana Fever,80,Box Score,
Thu Jun 16 2022,Washington Mystics,65,New York Liberty,77,Box Score,Commissioner's Cup Game
Fri Jun 17 2022,Atlanta Dream,100,Chicago Sky,106,Box Score,Commissioner's Cup Game
Fri Jun 17 2022,Seattle Storm,71,Connecticut Sun,82,Box Score,
Fri Jun 17 2022,Phoenix Mercury,88,Dallas Wings,93,Box Score,Commissioner's Cup Game
Sun Jun 19 2022,Los Angeles Sparks,82,Dallas Wings,92,Box Score,Commissioner's Cup Game
Sun Jun 19 2022,Chicago Sky,87,Indiana Fever,89,Box Score,Commissioner's Cup Game
Sun Jun 19 2022,Minnesota Lynx,95,Las Vegas Aces,96,Box Score,
Sun Jun 19 2022,Seattle Storm,81,New York Liberty,72,Box Score,
Sun Jun 19 2022,Connecticut Sun,63,Washington Mystics,71,Box Score,Commissioner's Cup Game
Tue Jun 21 2022,Dallas Wings,75,Atlanta Dream,80,Box Score,
Tue Jun 21 2022,Washington Mystics,82,Los Angeles Sparks,84,Box Score,
Tue Jun 21 2022,Chicago Sky,104,Las Vegas Aces,95,Box Score,
Tue Jun 21 2022,Minnesota Lynx,84,Phoenix Mercury,71,Box Score,Commissioner's Cup Game
Wed Jun 22 2022,New York Liberty,81,Connecticut Sun,77,Box Score,Commissioner's Cup Game
Thu Jun 23 2022,Indiana Fever,68,Dallas Wings,94,Box Score,
Thu Jun 23 2022,Chicago Sky,82,Los Angeles Sparks,59,Box Score,
Thu Jun 23 2022,Phoenix Mercury,88,Minnesota Lynx,100,Box Score,Commissioner's Cup Game
Thu Jun 23 2022,Washington Mystics,71,Seattle Storm,85,Box Score,
Fri Jun 24 2022,New York Liberty,89,Atlanta Dream,77,Box Score,Commissioner's Cup Game
Sat Jun 25 2022,Phoenix Mercury,83,Dallas Wings,72,Box Score,
Sat Jun 25 2022,Washington Mystics,87,Las Vegas Aces,86,Box Score,
Sat Jun 25 2022,Los Angeles Sparks,85,Seattle Storm,77,Box Score,
Sun Jun 26 2022,Connecticut Sun,72,Atlanta Dream,61,Box Score,Commissioner's Cup Game
Sun Jun 26 2022,Minnesota Lynx,85,Chicago Sky,88,Box Score,
Mon Jun 27 2022,Las Vegas Aces,79,Los Angeles Sparks,73,Box Score,
Mon Jun 27 2022,Indiana Fever,71,Phoenix Mercury,83,Box Score,
Tue Jun 28 2022,Dallas Wings,64,Minnesota Lynx,92,Box Score,Commissioner's Cup Game
Tue Jun 28 2022,Atlanta Dream,74,Washington Mystics,92,Box Score,
Wed Jun 29 2022,Connecticut Sun,83,Chicago Sky,91,Box Score,Commissioner's Cup Game
Wed Jun 29 2022,Indiana Fever,78,Phoenix Mercury,99,Box Score,
Wed Jun 29 2022,Las Vegas Aces,78,Seattle Storm,88,Box Score,Commissioner's Cup Game
Thu Jun 30 2022,Atlanta Dream,92,New York Liberty,81,Box Score,Commissioner's Cup Game
Fri Jul 1 2022,Los Angeles Sparks,97,Dallas Wings,89,Box Score,
Fri Jul 1 2022,Las Vegas Aces,91,Minnesota Lynx,85,Box Score,Commissioner's Cup Game
Fri Jul 1 2022,Indiana Fever,57,Seattle Storm,73,Box Score,
Sat Jul 2 2022,Phoenix Mercury,75,Chicago Sky,91,Box Score,
Sun Jul 3 2022,Seattle Storm,76,Atlanta Dream,90,Box Score,
Sun Jul 3 2022,Washington Mystics,72,Connecticut Sun,74,Box Score,
Sun Jul 3 2022,New York Liberty,74,Los Angeles Sparks,84,Box Score,
Sun Jul 3 2022,Las Vegas Aces,71,Minnesota Lynx,102,Box Score,
Mon Jul 4 2022,Phoenix Mercury,75,Los Angeles Sparks,78,Box Score,
Tue Jul 5 2022,Connecticut Sun,71,Dallas Wings,82,Box Score,
Tue Jul 5 2022,Seattle Storm,95,Indiana Fever,73,Box Score,
Wed Jul 6 2022,Washington Mystics,85,Atlanta Dream,66,Box Score,
Wed Jul 6 2022,New York Liberty,116,Las Vegas Aces,107,Box Score,
Wed Jul 6 2022,Chicago Sky,78,Minnesota Lynx,81,Box Score,
Thu Jul 7 2022,Chicago Sky,93,Indiana Fever,84,Box Score,
Thu Jul 7 2022,Seattle Storm,106,Los Angeles Sparks,69,Box Score,Commissioner's Cup Game
Thu Jul 7 2022,New York Liberty,81,Phoenix Mercury,84,Box Score,
Tue Jul 12 2022,Atlanta Dream,75,Chicago Sky,90,Box Score,
Tue Jul 12 2022,Washington Mystics,94,Los Angeles Sparks,81,Box Score,
Tue Jul 12 2022,Phoenix Mercury,107,Minnesota Lynx,118,Box Score,
Tue Jul 12 2022,Las Vegas Aces,107,New York Liberty,101,Box Score,
Tue Jul 12 2022,Dallas Wings,74,Seattle Storm,83,Box Score,
Wed Jul 13 2022,Connecticut Sun,89,Indiana Fever,81,Box Score,
Thu Jul 14 2022,Chicago Sky,80,Los Angeles Sparks,68,Box Score,
Thu Jul 14 2022,Dallas Wings,92,Minnesota Lynx,87,Box Score,
Thu Jul 14 2022,Las Vegas Aces,108,New York Liberty,74,Box Score,
Thu Jul 14 2022,Washington Mystics,75,Phoenix Mercury,80,Box Score,
Fri Jul 15 2022,Connecticut Sun,93,Atlanta Dream,68,Box Score,
Fri Jul 15 2022,Minnesota Lynx,87,Indiana Fever,77,Box Score,
Sat Jul 16 2022,Chicago Sky,89,Dallas Wings,81,Box Score,
Sun Jul 17 2022,Las Vegas Aces,91,Connecticut Sun,83,Box Score,
Sun Jul 17 2022,Atlanta Dream,85,Phoenix Mercury,75,Box Score,
Sun Jul 17 2022,Indiana Fever,65,Seattle Storm,81,Box Score,
Sun Jul 17 2022,Minnesota Lynx,57,Washington Mystics,70,Box Score,
Tue Jul 19 2022,New York Liberty,63,Connecticut Sun,82,Box Score,
Tue Jul 19 2022,Indiana Fever,79,Los Angeles Sparks,86,Box Score,
Tue Jul 19 2022,Atlanta Dream,92,Las Vegas Aces,76,Box Score,
Wed Jul 20 2022,Seattle Storm,74,Chicago Sky,78,Box Score,
Thu Jul 21 2022,Atlanta Dream,78,Los Angeles Sparks,85,Box Score,
Thu Jul 21 2022,Indiana Fever,77,Las Vegas Aces,90,Box Score,
Thu Jul 21 2022,New York Liberty,69,Washington Mystics,78,Box Score,
Fri Jul 22 2022,Dallas Wings,83,Chicago Sky,89,Box Score,
Fri Jul 22 2022,Connecticut Sun,94,Minnesota Lynx,84,Box Score,
Fri Jul 22 2022,Seattle Storm,78,Phoenix Mercury,94,Box Score,
Sat Jul 23 2022,Los Angeles Sparks,66,Las Vegas Aces,84,Box Score,
Sat Jul 23 2022,Chicago Sky,80,New York Liberty,83,Box Score,
Sun Jul 24 2022,Dallas Wings,96,Indiana Fever,86,Box Score,
Sun Jul 24 2022,Connecticut Sun,86,Minnesota Lynx,79,Box Score,
Sun Jul 24 2022,Atlanta Dream,72,Seattle Storm,82,Box Score,
Thu Jul 28 2022,Minnesota Lynx,92,Atlanta Dream,85,Box Score,
Thu Jul 28 2022,Seattle Storm,83,Connecticut Sun,88,Box Score,
Thu Jul 28 2022,Washington Mystics,87,Dallas Wings,77,Box Score,
Thu Jul 28 2022,Los Angeles Sparks,80,Phoenix Mercury,90,Box Score,
Fri Jul 29 2022,New York Liberty,81,Chicago Sky,89,Box Score,
Fri Jul 29 2022,Las Vegas Aces,93,Indiana Fever,72,Box Score,
Sat Jul 30 2022,Dallas Wings,81,Atlanta Dream,68,Box Score,
Sat Jul 30 2022,Seattle Storm,82,Washington Mystics,77,Box Score,
Sun Jul 31 2022,Chicago Sky,95,Connecticut Sun,92,Box Score,
Sun Jul 31 2022,Las Vegas Aces,94,Indiana Fever,69,Box Score,
Sun Jul 31 2022,Minnesota Lynx,84,Los Angeles Sparks,77,Box Score,
Sun Jul 31 2022,Phoenix Mercury,69,New York Liberty,89,Box Score,
Sun Jul 31 2022,Seattle Storm,75,Washington Mystics,78,Box Score,
Tue Aug 2 2022,Dallas Wings,84,Chicago Sky,78,Box Score,
Tue Aug 2 2022,Phoenix Mercury,63,Connecticut Sun,87,Box Score,
Tue Aug 2 2022,Los Angeles Sparks,73,New York Liberty,102,Box Score,
Tue Aug 2 2022,Las Vegas Aces,73,Washington Mystics,83,Box Score,
Wed Aug 3 2022,Indiana Fever,81,Atlanta Dream,91,Box Score,
Wed Aug 3 2022,Los Angeles Sparks,61,New York Liberty,64,Box Score,
Wed Aug 3 2022,Minnesota Lynx,77,Seattle Storm,89,Box Score,
Thu Aug 4 2022,Phoenix Mercury,64,Connecticut Sun,77,Box Score,
Thu Aug 4 2022,Las Vegas Aces,80,Dallas Wings,82,Box Score,
Fri Aug 5 2022,Los Angeles Sparks,86,Atlanta Dream,88,Box Score,
Fri Aug 5 2022,Washington Mystics,83,Chicago Sky,93,Box Score,
Sat Aug 6 2022,Indiana Fever,91,Dallas Wings,95,Box Score,
Sat Aug 6 2022,New York Liberty,62,Phoenix Mercury,76,Box Score,
Sun Aug 7 2022,Connecticut Sun,91,Chicago Sky,94,Box Score,
Sun Aug 7 2022,Atlanta Dream,71,Minnesota Lynx,81,Box Score,
Sun Aug 7 2022,Las Vegas Aces,89,Seattle Storm,81,Box Score,
Sun Aug 7 2022,Los Angeles Sparks,79,Washington Mystics,76,Box Score,
Mon Aug 8 2022,New York Liberty,77,Dallas Wings,86,Box Score,
Tue Aug 9 2022,Seattle Storm,111,Chicago Sky,100,Box Score,
Tue Aug 9 2022,Connecticut Sun,97,Los Angeles Sparks,71,Box Score,
Tue Aug 9 2022,Atlanta Dream,90,Las Vegas Aces,97,Box Score,
Wed Aug 10 2022,New York Liberty,91,Dallas Wings,73,Box Score,
Wed Aug 10 2022,Minnesota Lynx,86,Phoenix Mercury,77,Box Score,
Thu Aug 11 2022,Connecticut Sun,93,Los Angeles Sparks,69,Box Score,
Thu Aug 11 2022,Chicago Sky,78,Las Vegas Aces,89,Box Score,
Fri Aug 12 2022,New York Liberty,80,Atlanta Dream,70,Box Score,
Fri Aug 12 2022,Washington Mystics,82,Indiana Fever,70,Box Score,
Fri Aug 12 2022,Seattle Storm,96,Minnesota Lynx,69,Box Score,
Fri Aug 12 2022,Dallas Wings,74,Phoenix Mercury,86,Box Score,
Sun Aug 14 2022,Minnesota Lynx,83,Connecticut Sun,90,Box Score,
Sun Aug 14 2022,Dallas Wings,116,Los Angeles Sparks,88,Box Score,
Sun Aug 14 2022,Seattle Storm,100,Las Vegas Aces,109,Box Score,
Sun Aug 14 2022,Atlanta Dream,83,New York Liberty,87,Box Score,
Sun Aug 14 2022,Chicago Sky,82,Phoenix Mercury,67,Box Score,
Sun Aug 14 2022,Indiana Fever,83,Washington Mystics,95,Box Score,
Wed Aug 17 2022,New York Liberty,98,Chicago Sky,91,Box Score,
Wed Aug 17 2022,Phoenix Mercury,63,Las Vegas Aces,79,Box Score,
Thu Aug 18 2022,Dallas Wings,68,Connecticut Sun,93,Box Score,
Thu Aug 18 2022,Washington Mystics,83,Seattle Storm,86,Box Score,
Sat Aug 20 2022,New York Liberty,62,Chicago Sky,100,Box Score,
Sat Aug 20 2022,Phoenix Mercury,80,Las Vegas Aces,117,Box Score,
Sun Aug 21 2022,Dallas Wings,89,Connecticut Sun,79,Box Score,
Sun Aug 21 2022,Washington Mystics,84,Seattle Storm,97,Box Score,
Tue Aug 23 2022,Chicago Sky,90,New York Liberty,72,Box Score,
Wed Aug 24 2022,Connecticut Sun,73,Dallas Wings,58,Box Score,
Sun Aug 28 2022,Connecticut Sun,68,Chicago Sky,63,Box Score,
Sun Aug 28 2022,Seattle Storm,76,Las Vegas Aces,73,Box Score,
Wed Aug 31 2022,Connecticut Sun,77,Chicago Sky,85,Box Score,
Wed Aug 31 2022,Seattle Storm,73,Las Vegas Aces,78,Box Score,
Sun Sep 4 2022,Chicago Sky,76,Connecticut Sun,72,Box Score,
Sun Sep 4 2022,Las Vegas Aces,110,Seattle Storm,98,Box Score,
Tue Sep 6 2022,Chicago Sky,80,Connecticut Sun,104,Box Score,
Tue Sep 6 2022,Las Vegas Aces,97,Seattle Storm,92,Box Score,
Thu Sep 8 2022,Connecticut Sun,72,Chicago Sky,63,Box Score,
Sun Sep 11 2022,Connecticut Sun,64,Las Vegas Aces,67,Box Score,
Tue Sep 13 2022,Connecticut Sun,71,Las Vegas Aces,85,Box Score,
Thu Sep 15 2022,Las Vegas Aces,76,Connecticut Sun,105,Box Score,
Sun Sep 18 2022,Las Vegas Aces,78,Connecticut Sun,71,Box Score,
