Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
11	Sat	2020-12-12	14:30 (07:30)	Fleury	0–0	Soyaux		Stade Auguste Gentelet	Romy Fournier	Match Report	
11	Sat	2020-12-12	14:30 (07:30)	Stade de Reims	0–1	Guingamp		Stade Louis Blériot N°2 	Maika Vanderstichel	Match Report	
11	Sat	2020-12-12	14:30 (07:30)	Lyon	9–0	Issy		Groupama OL Academy Décines-Charpieu 	Justine Catania	Match Report	
11	Sat	2020-12-12	14:30 (07:30)	Paris FC	3–2	Dijon		Stade Robert Bobin	Vanessa Cruchon	Match Report	
11	Sat	2020-12-12	15:15 (08:15)	Bordeaux	2–0	Montpellier		Stade Jean-Antoine Moueix	Victoria Beyer	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
11	Sun	2020-12-13	14:30 (07:30)	Paris S-G	5–0	Le Havre		Stade Municipal Georges Lefèvre	Emeline Rochebiliere	Match Report	
											
12	Fri	2021-01-15	18:45 (11:45)	Guingamp	4–1	Montpellier		Stade Centre Formation EAG 1	Savina Elbour	Match Report	
12	Fri	2021-01-15	18:45 (11:45)	Paris S-G	1–0	Bordeaux		Stade Municipal Georges Lefèvre	Victoria Beyer	Match Report	
12	Fri	2021-01-15	18:45 (11:45)	Lyon	3–0	Stade de Reims		Groupama OL Academy Décines-Charpieu 	Emeline Rochebiliere	Match Report	
12	Sat	2021-01-16	14:30 (07:30)	Soyaux	0–3	Paris FC		Stade Léo Lagrange	Maika Vanderstichel	Match Report	
											
13	Fri	2021-01-22	18:30 (11:30)	Paris FC	0–5	Lyon		Stade Robert Bobin	Romy Fournier	Match Report	
13	Sat	2021-01-23	14:30 (07:30)	Bordeaux	7–1	Stade de Reims		Stade Sainte-Germaine	Gabrielle Guillot	Match Report	
13	Sat	2021-01-23	14:30 (07:30)	Le Havre	0–0	Issy		Stade Charles Argentin	Maika Vanderstichel	Match Report	
13	Sat	2021-01-23	14:30 (07:30)	Dijon	3–2	Soyaux		Stade des Poussots 1	Savina Elbour	Match Report	
13	Sat	2021-01-23	14:30 (07:30)	Montpellier	0–0	Fleury		Stade Bernard Gasset Terrain n°7	Victoria Beyer	Match Report	
13	Sat	2021-01-23	18:30 (11:30)	Guingamp	0–5	Paris S-G		Stade du Roudourou	Justine Catania	Match Report	
											
14	Fri	2021-02-05	18:30 (11:30)	Fleury	0–5	Paris S-G		Stade Auguste Gentelet N°2	Savina Elbour	Match Report	
14	Sat	2021-02-06	14:30 (07:30)	Le Havre	0–1	Guingamp		Stade Charles Argentin	Alexandra Collin	Match Report	
14	Sat	2021-02-06	14:30 (07:30)	Issy	0–1	Soyaux		Stade Le Gallo	Charlène Laur	Match Report	
14	Sat	2021-02-06	15:15 (08:15)	Lyon	2–1	Montpellier		Groupama OL Academy Décines-Charpieu 	Maika Vanderstichel	Match Report	
											
12	Sat	2021-02-13	14:30 (07:30)	Issy	1–0	Dijon		Stade Le Gallo	Gabrielle Guillot	Match Report	
											
15	Sat	2021-02-27	14:30 (07:30)	Paris FC	0–0	Guingamp		Stade Robert Bobin	Victoria Beyer	Match Report	
15	Sat	2021-02-27	14:30 (07:30)	Bordeaux	6–0	Le Havre		Stade Sainte-Germaine	Romy Fournier	Match Report	
15	Sat	2021-02-27	14:30 (07:30)	Fleury	1–2	Stade de Reims		Stade Auguste Gentelet N°2	Vanessa Cruchon	Match Report	
15	Sat	2021-02-27	14:30 (07:30)	Montpellier	1–1	Dijon		Stade Bernard Gasset Terrain n°7	Justine Catania	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
15	Sat	2021-02-27	15:15 (08:15)	Soyaux	0–2	Lyon		Stade Léo Lagrange	Savina Elbour	Match Report	
15	Sat	2021-02-27	18:45 (11:45)	Paris S-G	4–0	Issy		Stade Municipal Georges Lefèvre	Alexandra Collin	Match Report	
											
12	Sat	2021-03-06	14:30 (07:30)	Fleury	1–0	Le Havre		Stade Robert Bobin	Victoria Beyer	Match Report	
											
14	Sat	2021-03-06	14:30 (07:30)	Dijon	0–2	Bordeaux		Stade des Poussots 1	Florence Guillemin	Match Report	
14	Sat	2021-03-06	14:30 (07:30)	Stade de Reims	1–4	Paris FC		Stade Louis Blériot N°2 	Charlène Laur	Match Report	
											
