Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Wed	2019-08-21	19:30 (18:30)	Spirit	0.9	0–0	0.6	Utah	2,430	Maureen Hendricks Field Maryland SoccerP...	Guido Gonzalez Jr.	Match Report	
Sat	2019-08-24	19:00 (18:00)	Courage	2.7	1–0	1.1	Reign	6,743	Sahlen's Stadium at WakeMed Soccer Park	Greg Dopka	Match Report	
Sat	2019-08-24	19:30 (18:30)	Spirit	2.1	2–1	1.7	Pride	19,471	Audi Field	Matthew Franz	Match Report	
Sun	2019-08-25	12:00 (14:00)	Thorns	2.8	3–0	1.0	Red Stars	17,542	Providence Park	Lukasz Szpala	Match Report	
Sat	2019-08-24	19:30 	Dash	1.8	1–2	1.8	Sky Blue	4,102	BBVA Stadium	Natalie Simon	Match Report	
Sat	2019-09-07	15:00 (14:00)	Sky Blue	2.3	1–2	1.6	Courage	2,895	The Soccer/Lacrosse Stadium at Yurcak Fi...	Robinson Khongsai	Match Report	
Fri	2019-09-06	19:30 (20:30)	Utah	0.5	1–0	1.5	Thorns	10,897	Rio Tinto Stadium	Ismir Pekmic	Match Report	
Sun	2019-09-08	17:00 	Red Stars	2.2	3–0	0.2	Dash	3,345	SeatGeek Stadium	Tori Penso	Match Report	
Sat	2019-09-07	19:00 (21:00)	Reign	1.3	3–1	1.3	Pride	6,668	Cheney Stadium	Karen Abt	Match Report	
Wed	2019-09-11	19:00 (18:00)	Pride	1.3	0–1	1.8	Red Stars	4,592	Exploria Stadium	Elvis Osmanovic	Match Report	
Wed	2019-09-11	19:30 (21:30)	Thorns	0.7	0–6	2.6	Courage	17,517	Providence Park	Guido Gonzalez Jr.	Match Report	
Sat	2019-09-14	19:00 (18:00)	Courage	5.5	6–1	0.5	Pride	9,563	Sahlen's Stadium at WakeMed Soccer Park	Natalie Simon	Match Report	
Sat	2019-09-14	19:30 (18:30)	Spirit	1.7	2–2	1.4	Reign	17,418	Audi Field	Jon Freemon	Match Report	
Fri	2019-09-13	19:30 	Dash	1.4	2–1	1.1	Utah	4,538	BBVA Stadium	Luis Guardia	Match Report	
Sun	2019-09-15	17:00 (16:00)	Sky Blue	1.3	0–3	1.8	Red Stars	2,871	The Soccer/Lacrosse Stadium at Yurcak Fi...	Katja Koroleva	Match Report	
Tue	2019-09-17	19:30 (18:30)	Courage	2.2	1–0	0.7	Dash	4,943	Sahlen's Stadium at WakeMed Soccer Park	Thomas Snyder	Match Report	
Sat	2019-09-21	19:00 (20:00)	Utah	0.6	0–3	1.8	Courage	9,946	Rio Tinto Stadium	Karen Abt	Match Report	
Sat	2019-09-21	19:00 (21:00)	Reign	2.7	0–1	1.4	Sky Blue	6,189	Cheney Stadium	Rosendo Mendoza	Match Report	
Sat	2019-09-21	19:00 	Red Stars	1.1	3–1	1.3	Spirit	4,317	SeatGeek Stadium	Mark Allatin	Match Report	
Sat	2019-09-21	19:30 (21:30)	Thorns	1.5	1–0	1.3	Dash	21,022	Providence Park	Victor Rivas	Match Report	
Wed	2019-09-25	19:00 (21:00)	Reign	1.6	2–1	1.5	Utah	5,015	Cheney Stadium	Lukasz Szpala	Match Report	
