Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
14	Sat	2020-02-01	14:30 (07:30)	Sassuolo	6–0	Orobica Calcio	200	Stadio Comunale Mirabello	Davide Faraon	Match Report	
14	Sat	2020-02-01	14:30 (07:30)	Florentia	0–0	Juventus	1,000	Stadio Comunale Santa Lucia	Gianluca Grasso	Match Report	
14	Sat	2020-02-01	14:30 (07:30)	Hellas Verona	1–1	Pink Bari	200	Stadio AGSM Olivieri	Julio Milan Silvera	Match Report	
14	Sun	2020-02-02	12:30 (05:30)	Milan	2–1	Internazionale	600	Centro Sportivo Peppino Vismara	Bogdan Sfira	Match Report	
14	Sun	2020-02-02	12:30 (05:30)	Empoli	1–2	AS Roma	300	Stadio Centro Sportivo Flaminio	Luca De Angeli	Match Report	
											
15	Sat	2020-02-15	12:00 (05:00)	Pink Bari	1–4	Florentia	200	Stadio Antonio Antonacci	Valentina Finzi	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
15	Sat	2020-02-15	12:00 (05:00)	Tavagnacco	0–4	Milan	300	Stadio Comunale di Tavagnacco	Maria Sole Ferrieri Caputi	Match Report	
15	Sat	2020-02-15	14:30 (07:30)	AS Roma	6–0	Hellas Verona	400	Stadio Tre Fontane	Domenico Mirabella	Match Report	
15	Sat	2020-02-15	14:30 (07:30)	Fiorentina	2–1	Sassuolo	400	Stadio Comunale Gino Bozzi	Gianluca Grasso	Match Report	
15	Sat	2020-02-15	14:30 (07:30)	Orobica Calcio	0–3	Empoli	150	Stadio Giacinto Facchetti	Alessio Angiolari	Match Report	
15	Sun	2020-02-16	12:30 (05:30)	Juventus	5–1	Internazionale	600	Juventus Training Center	Valerio Crezzini	Match Report	
											
16	Sat	2020-02-22	12:00 (05:00)	Internazionale	2–2	Pink Bari	250	Stadio Felice Chinetti	Edoardo Gianquinto	Match Report	
16	Sat	2020-02-22	14:30 (07:30)	Hellas Verona	0–4	Juventus	500	Stadio AGSM Olivieri	Giuseppe Rispoli	Match Report	
16	Sun	2020-02-23	12:30 (05:30)	Sassuolo	0–1	AS Roma	300	Stadio Enzo Ricci	Carlo Rinaldi	Match Report	
16	Sun	2020-02-23	12:30 (05:30)	Milan		Fiorentina		Centro Sportivo Peppino Vismara		Match Report	Match Cancelled
16	Sun	2020-02-23	14:30 (07:30)	Florentia	3–0	Orobica Calcio	200	Campo Sportivo Ascanio Nesi	Silvia Gasperotti	Match Report	
16	Sun	2020-02-23	14:30 (07:30)	Empoli	1–1	Tavagnacco	150	Centro Sportivo Monteboro	Ilaria Bianchini	Match Report	
