Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2017-07-08	21:30 (20:30)	Courage	2–0	Reign	3,565	WakeMed Soccer Park	Matthew Franz	Match Report	
Sat	2017-07-15	12:30 (14:30)	Thorns	1–0	Courage	16,804	Providence Park	Katja Koroleva	Match Report	
Sat	2017-07-15	19:00 (18:00)	Sky Blue	2–2	Red Stars	2,529	The Soccer/Lacrosse Stadium at Yurcak Fi...	Robi Hullner	Match Report	
Sat	2017-07-15	19:30 (18:30)	Pride	4–1	Kansas City	6,073	Orlando City Stadium	Greg Dopka	Match Report	
Sat	2017-07-15	19:00 (21:00)	Reign	1–1	Boston	3,730	Seattle High School Memorial Stadium	Ramy Touchan	Match Report	
Sat	2017-07-15	19:30 	Dash	2–1	Spirit	3,332	BBVA Compass Stadium	Chris Spivey	Match Report	
Sat	2017-07-22	14:30 	Red Stars	2–1	Pride	4,742	Toyota Park	Farhad Dadkho	Match Report	
Sat	2017-07-22	19:00 (21:00)	Reign	5–4	Sky Blue	4,464	Seattle High School Memorial Stadium	Greg Dopka	Match Report	
Sat	2017-07-22	19:00 (21:00)	Thorns	2–1	Spirit	18,478	Providence Park	Michael Radchuk	Match Report	
Sat	2017-07-22	19:30 	Dash	1–0	Boston	5,337	BBVA Compass Stadium	Reyna Fonseca	Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Fri	2017-08-04	19:00 (18:00)	Boston	2–2	Kansas City	2,510	Jordan Field	Lorant Varga	Match Report	
Fri	2017-08-04	19:00 (18:00)	Sky Blue	1–4	Spirit	2,496	The Soccer/Lacrosse Stadium at Yurcak Fi...	Gustavo Solorio	Match Report	
Sat	2017-08-05	11:00 (13:00)	Thorns	2–1	Dash	18,243	Providence Park	Karen Abt	Match Report	
Sat	2017-08-05	19:30 (18:30)	Pride	1–1	Red Stars	5,667	Orlando City Stadium	Katja Koroleva	Match Report	
Sat	2017-08-05	19:30 (18:30)	Courage	1–0	Reign	5,249	WakeMed Soccer Park	Elvis Osmanovic	Match Report	
Tue	2017-08-08	19:30 (18:30)	Pride	3–0	Spirit	4,273	Orlando City Stadium	Christina Unkel	Match Report	
Thu	2017-08-10	19:00 	Kansas City	0–1	Courage	1,398	Swope Soccer Village Main Field	Jose Lara	Match Report	
Sat	2017-08-12	15:30 (14:30)	Spirit	2–2	Boston	3,722	Maureen Hendricks Field at Maryland Socc...	Robinson Khongsai	Match Report	
Sat	2017-08-12	19:00 	Red Stars	2–3	Thorns	4,934	Toyota Park	Greg Dopka	Match Report	
Sat	2017-08-12	20:30 (19:30)	Pride	5–0	Sky Blue	5,243	Orlando City Stadium	Elvis Osmanovic	Match Report	
Sun	2017-08-13	18:00 (20:00)	Reign	1–2	Courage	4,156	Seattle High School Memorial Stadium	Karen Abt	Match Report	
