Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
10	Sun	2017-12-10	14:00 (07:00)	Turbine Potsdam	2–0	Hoffenheim	1,218	Karl-Liebknecht-Stadion	Angelika Söder	Match Report	
10	Mon	2017-12-11	18:00 (11:00)	Wolfsburg	3–1	Bayern Munich	1,711	AOK Stadion	Katrin Rafalski	Match Report	
											
11	Sun	2017-12-17	11:00 (04:00)	Sand	1–2	Turbine Potsdam	530	Orsay Stadion	Franziska Wildfeuer	Match Report	
11	Sun	2017-12-17	14:00 (07:00)	Hoffenheim	2–0	Werder Bremen	320	Dietmar-Hopp-Stadion	Melissa Joos	Match Report	
11	Sun	2017-12-17	14:00 (07:00)	Köln	0–6	Wolfsburg	373	Südstadion	Christine Weigelt 	Match Report	
11	Sun	2017-12-17	14:00 (07:00)	Bayern Munich	3–0	FFC Frankfurt	836	Städtisches Stadion an der Grünwalder St...	Susann Kunkel	Match Report	
											
10	Sun	2018-02-04	11:00 (04:00)	MSV Duisburg	0–2	Sand	240	PCC-Stadion	Sandra Stolz	Match Report	
											
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
11	Sun	2018-02-04	14:00 (07:00)	Essen	0–3	Freiburg	813	Stadion Essen	Mirka Derlin	Match Report	
											
10	Sun	2018-02-11	14:00 (07:00)	FFC Frankfurt	0–1	Essen	780	Stadion am Brentanobad	Hanna Schlemmer	Match Report	
											
11	Sun	2018-02-11	14:00 (07:00)	USV Jena	3–0	MSV Duisburg	287	Ernst-Abbe-Sportfeld	Miriam Schweinefuss	Match Report	
											
12	Sun	2018-02-18	11:00 (04:00)	Sand	2–2	Werder Bremen	460	Orsay Stadion	Angelika Söder	Match Report	
12	Sun	2018-02-18	11:00 (04:00)	Köln	0–3	FFC Frankfurt	251	Südstadion	Sandra Stolz	Match Report	
12	Sun	2018-02-18	14:00 (07:00)	USV Jena	0–5	Turbine Potsdam	456	Ernst-Abbe-Sportfeld	Kathrin Heimann	Match Report	
12	Sun	2018-02-18	14:00 (07:00)	Bayern Munich	2–1	Essen	245	Städtisches Stadion an der Grünwalder St...	Christine Weigelt 	Match Report	
12	Sun	2018-02-18	14:00 (07:00)	MSV Duisburg	2–1	Freiburg	305	PCC-Stadion	Franziska Wildfeuer	Match Report	
12	Sun	2018-02-18	17:00 (10:00)	Hoffenheim	0–1	Wolfsburg	800	Dietmar-Hopp-Stadion	Ines Appelmann	Match Report	
											
13	Sat	2018-02-24	13:30 (06:30)	Freiburg	2–0	Bayern Munich	1,223	Möslestadion	Marina Wozniak	Match Report	
13	Sat	2018-02-24	14:00 (07:00)	Wolfsburg	2–0	Sand	1,295	AOK Stadion	Mirka Derlin	Match Report	
13	Sat	2018-02-24	16:30 (09:30)	FFC Frankfurt	2–0	Hoffenheim	760	Stadion am Brentanobad	Laura Duske	Match Report	
13	Sat	2018-02-24	17:00 (10:00)	Essen	4–1	Köln	805	Stadion Essen	Ines Appelmann	Match Report	
