Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Sun,2019-12-15,12:30 (06:30),Everton,0.7,1–3,3.5,Arsenal,451,Walton Hall Park,Ben Speedie,Match Report,
Sun,2019-12-15,14:00 (08:00),Reading,4.3,3–1,0.4,Tottenham,715,Adams Park,Stacey Pearson,Match Report,
Sun,2019-12-15,14:00 (08:00),Liverpool,0.5,1–1,2.9,Chelsea,540,Prenton Park,Louise Saunders,Match Report,
Sun,2020-01-05,12:00 (06:00),Manchester Utd,2.4,0–1,0.2,Bristol City,"2,021",Leigh Sports Village Stadium,Lucy Oliver,Match Report,
Sun,2020-01-05,12:30 (06:30),Chelsea,4.0,3–1,1.3,Reading,"2,828",Cherry Red Records Fans' Stadium,Stacey Pearson,Match Report,
Sun,2020-01-05,14:00 (08:00),Brighton,0.7,1–0,1.1,Liverpool,947,Checkatrade.com Stadium,Amy Fearn,Match Report,
Sun,2020-01-05,14:00 (08:00),Tottenham,1.3,1–4,3.9,Manchester City,"1,056",The Hive Stadium,Helen Conley,Match Report,
Sun,2020-01-05,14:00 (08:00),Arsenal,2.7,2–0,0.3,Birmingham City,"2,106",Meadow Park,Elizabeth Simms,Match Report,
Sat,2020-01-11,17:30 (11:30),Manchester City,3.1,3–1,0.2,Everton,"1,681",Academy Stadium,Amy Fearn,Match Report,
Sun,2020-01-12,12:00 (06:00),Liverpool,,,,Manchester Utd,,Prenton Park,,Match Report,Match Cancelled
Sun,2020-01-12,12:30 (06:30),Brighton,0.2,0–4,2.0,Arsenal,"1,312",Checkatrade.com Stadium,Kirsty Dowle,Match Report,
Sun,2020-01-12,14:00 (08:00),Chelsea,5.2,6–1,0.3,Bristol City,"2,866",Cherry Red Records Fans' Stadium,Emily Heaslip,Match Report,
Sun,2020-01-12,14:00 (08:00),Tottenham,1.2,2–1,0.5,West Ham,855,The Hive Stadium,Lucy Oliver,Match Report,
Sun,2020-01-12,14:00 (08:00),Reading,1.2,1–0,0.6,Birmingham City,733,Adams Park,Tom Bishop,Match Report,
Sun,2020-01-19,12:00 (06:00),Manchester Utd,2.7,3–0,0.9,Tottenham,"1,836",Leigh Sports Village Stadium,Edward Duckworth,Match Report,
Sun,2020-01-19,12:00 (06:00),Birmingham City,0.2,0–2,2.9,Manchester City,"1,197",Damson Park,Helen Conley,Match Report,
Sun,2020-01-19,14:00 (08:00),Everton,2.0,3–1,1.1,Reading,,Walton Hall Park,Peter Shacklady,Match Report,
Sun,2020-01-19,14:00 (08:00),Arsenal,0.7,1–4,2.2,Chelsea,"4,000",Meadow Park,Abigail Bryne,Match Report,
Sun,2020-01-19,15:00 (09:00),Bristol City,1.3,0–1,1.4,Liverpool,"1,007",Stoke Gifford Stadium,Savvas Yianni,Match Report,
Sun,2020-01-19,15:00 (09:00),West Ham,1.8,2–1,2.1,Brighton,"1,799",Rush Green Stadium,Ryan Atkin,Match Report,
Sun,2020-02-02,12:00 (06:00),Liverpool,,,,Birmingham City,,Prenton Park,,Match Report,Match Cancelled
Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sun,2020-02-02,14:00 (08:00),Reading,1.8,1–1,0.4,Manchester Utd,"1,256",Adams Park,Kirsty Dowle,Match Report,
Sun,2020-02-02,14:00 (08:00),Chelsea,6.5,8–0,0.2,West Ham,"3,304",Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
Sun,2020-02-02,14:00 (08:00),Manchester City,0.5,2–1,2.1,Arsenal,"3,664",Academy Stadium,Stacey Pearson,Match Report,
Sun,2020-02-02,14:00 (08:00),Brighton,1.2,1–0,0.6,Everton,830,Checkatrade.com Stadium,Abigail Bryne,Match Report,
Sun,2020-02-09,14:00 (08:00),Birmingham City,,,,Brighton,,Damson Park,,Match Report,Match Cancelled
Sun,2020-02-09,15:00 (09:00),Bristol City,,,,Reading,,Stoke Gifford Stadium,,Match Report,Match Cancelled
Wed,2020-02-12,19:00 (13:00),Chelsea,2.1,2–0,0.1,Birmingham City,"1,928",Cherry Red Records Fans' Stadium,Rob Whitton,Match Report,
Wed,2020-02-12,19:00 (13:00),Manchester City,1.1,1–0,0.1,Bristol City,858,Academy Stadium,Edward Duckworth,Match Report,
Wed,2020-02-12,19:30 (13:30),Tottenham,0.9,2–2,1.7,Everton,388,The Hive Stadium,Lisa Benn,Match Report,
Wed,2020-02-12,19:30 (13:30),Reading,2.0,2–0,0.0,West Ham,573,Adams Park,Abigail Bryne,Match Report,
Wed,2020-02-12,19:45 (13:45),Brighton,2.1,1–1,0.6,Manchester Utd,905,Checkatrade.com Stadium,Savvas Yianni,Match Report,
