Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Jan 15 2012,FIATC Mutua Joventut,73,,CAI Zaragoza,96,,,
Sat Jan 21 2012,Unicaja,68,,Assignia Manresa,86,,,
Sat Jan 21 2012,Gescrap Bizkaia,79,,Blu:sens Monbús,65,,,
Sun Jan 22 2012,CAI Zaragoza,68,,FC Barcelona Regal,71,,,
Sun Jan 22 2012,Lucentum Alicante,76,,Asefa Estudiantes,68,,,
Sun Jan 22 2012,Blancos de Rueda Valladolid,54,,Mad-Croc Fuenlabrada,65,,,
Sun Jan 22 2012,Valencia Basket,73,,FIATC Mutua Joventut,81,,,
Sun Jan 22 2012,Lagun Aro GBC,89,,UCAM Murcia,85,,,
Sun Jan 22 2012,Laboral Kutxa,73,,Real Madrid,84,,,
Sun Jan 22 2012,Gran Canaria 2014,70,,Banca Cívica,75,,,
Sat Jan 28 2012,Unicaja,49,,Gran Canaria 2014,60,,,
Sat Jan 28 2012,Asefa Estudiantes,71,,Valencia Basket,85,,,
Sun Jan 29 2012,UCAM Murcia,53,,FC Barcelona Regal,90,,,
Sun Jan 29 2012,Lucentum Alicante,60,,Gescrap Bizkaia,73,,,
Sun Jan 29 2012,Real Madrid,79,,Mad-Croc Fuenlabrada,57,,,
Sun Jan 29 2012,Assignia Manresa,79,,FIATC Mutua Joventut,92,,,
Sun Jan 29 2012,Lagun Aro GBC,88,,Blu:sens Monbús,80,,,
Sun Jan 29 2012,Laboral Kutxa,73,,Banca Cívica,66,,,
Sun Jan 29 2012,CAI Zaragoza,73,,Blancos de Rueda Valladolid,58,,,
Sat Feb 4 2012,Mad-Croc Fuenlabrada,59,,Assignia Manresa,80,,,
Sun Feb 5 2012,Banca Cívica,82,,Lucentum Alicante,86,,9OT,
Sun Feb 5 2012,FC Barcelona Regal,80,,Asefa Estudiantes,65,,,
Sun Feb 5 2012,FIATC Mutua Joventut,54,,UCAM Murcia,76,,,
Sun Feb 5 2012,Gescrap Bizkaia,93,,Real Madrid,90,,,
Sun Feb 5 2012,Blancos de Rueda Valladolid,62,,Lagun Aro GBC,71,,,
Sun Feb 5 2012,Blu:sens Monbús,69,,Unicaja,54,,,
Sun Feb 5 2012,Gran Canaria 2014,67,,Laboral Kutxa,71,,,
Sun Feb 5 2012,Valencia Basket,63,,CAI Zaragoza,71,,,
Sat Feb 11 2012,UCAM Murcia,73,,Mad-Croc Fuenlabrada,89,,,
Sat Feb 11 2012,Lucentum Alicante,53,,Gran Canaria 2014,61,,,
Sat Feb 11 2012,Unicaja,83,,Blancos de Rueda Valladolid,76,,,
Sun Feb 12 2012,Assignia Manresa,60,,Gescrap Bizkaia,88,,,
Sun Feb 12 2012,FC Barcelona Regal,79,,FIATC Mutua Joventut,52,,,
Sun Feb 12 2012,Laboral Kutxa,87,,Blu:sens Monbús,89,,9OT,
Sun Feb 12 2012,Real Madrid,98,,Banca Cívica,63,,,
Sun Feb 12 2012,Lagun Aro GBC,60,,Valencia Basket,69,,,
Sun Feb 12 2012,Asefa Estudiantes,72,,CAI Zaragoza,75,,,
