Date,Team,PTS,,Opp,PTS,,OT,Notes
Mon Dec 14 2020,Shanxi Loongs,87,,Sichuan Blue Whales,92,,,
Tue Dec 15 2020,Zhejiang Golden Bulls,105,,Jiangsu Dragons,85,,,
Tue Dec 15 2020,Guangzhou Loong Lions,93,,Liaoning Flying Leopards,95,,,
Wed Dec 16 2020,Xinjiang Flying Tigers,102,,Guangdong Southern Tigers,115,,,
Wed Dec 16 2020,Zhejiang Golden Bulls,105,,Jiangsu Dragons,85,,,
Wed Dec 16 2020,Shanghai Sharks,101,,Jilin Northeast Tigers,102,,,
Wed Dec 16 2020,Guangzhou Loong Lions,93,,Liaoning Flying Leopards,95,,,
Wed Dec 16 2020,Sichuan Blue Whales,110,,Zhejiang Lions,105,,,
Thu Dec 17 2020,Shanxi Loongs,84,,Beijing Ducks,91,,,
Thu Dec 17 2020,Beijing Royal Fighters,111,,Fujian Sturgeons,123,,,
Thu Dec 17 2020,Tianjin Pioneers,100,,Nanjing Monkey Kings,102,,,
Thu Dec 17 2020,Shanghai Sharks,101,,Jilin Northeast Tigers,102,,,
Thu Dec 17 2020,Qingdao Eagles,118,,Shenzhen Aviators,95,,,
Fri Dec 18 2020,Nanjing Monkey Kings,112,,Beijing Royal Fighters,92,,,
Fri Dec 18 2020,Jiangsu Dragons,84,,Shanxi Loongs,100,,,
Fri Dec 18 2020,Sichuan Blue Whales,92,,Xinjiang Flying Tigers,107,,,
Fri Dec 18 2020,Shandong Heroes,111,,Zhejiang Golden Bulls,124,,,
Sat Dec 19 2020,Nanjing Monkey Kings,112,,Beijing Royal Fighters,92,,,
Sat Dec 19 2020,Jilin Northeast Tigers,109,,Fujian Sturgeons,105,,,
Sat Dec 19 2020,Jiangsu Dragons,84,,Shanxi Loongs,100,,,
Sat Dec 19 2020,Shanghai Sharks,94,,Tianjin Pioneers,113,,,
Sat Dec 19 2020,Guangdong Southern Tigers,119,,Zhejiang Lions,117,,,
Sun Dec 20 2020,Shenzhen Aviators,98,,Guangzhou Loong Lions,96,,,
Sun Dec 20 2020,Beijing Ducks,94,,Qingdao Eagles,102,,,
Sun Dec 20 2020,Fujian Sturgeons,121,,Sichuan Blue Whales,113,,,
Sun Dec 20 2020,Xinjiang Flying Tigers,105,,Tianjin Pioneers,91,,,
Mon Dec 21 2020,Jilin Northeast Tigers,108,,Beijing Royal Fighters,112,,OT,
Mon Dec 21 2020,Guangdong Southern Tigers,114,,Nanjing Monkey Kings,92,,,
Mon Dec 21 2020,Zhejiang Lions,111,,Shanghai Sharks,123,,,
Mon Dec 21 2020,Shenzhen Aviators,98,,Shanxi Loongs,87,,,
Mon Dec 21 2020,Fujian Sturgeons,121,,Sichuan Blue Whales,113,,,
Mon Dec 21 2020,Xinjiang Flying Tigers,105,,Tianjin Pioneers,91,,,
Tue Dec 22 2020,Liaoning Flying Leopards,105,,Beijing Ducks,83,,,
Tue Dec 22 2020,Xinjiang Flying Tigers,119,,Jilin Northeast Tigers,112,,,
Tue Dec 22 2020,Jiangsu Dragons,111,,Qingdao Eagles,120,,,
Tue Dec 22 2020,Guangzhou Loong Lions,103,,Shandong Heroes,113,,,
Tue Dec 22 2020,Shenzhen Aviators,98,,Shanxi Loongs,87,,,
Tue Dec 22 2020,Beijing Royal Fighters,115,,Zhejiang Lions,105,,,
Wed Dec 23 2020,Shanghai Sharks,128,,Fujian Sturgeons,115,,,
Wed Dec 23 2020,Tianjin Pioneers,87,,Guangdong Southern Tigers,110,,,
Wed Dec 23 2020,Xinjiang Flying Tigers,119,,Jilin Northeast Tigers,112,,,
Wed Dec 23 2020,Qingdao Eagles,110,,Liaoning Flying Leopards,113,,,
Wed Dec 23 2020,Nanjing Monkey Kings,73,,Sichuan Blue Whales,93,,,
Wed Dec 23 2020,Beijing Royal Fighters,115,,Zhejiang Lions,105,,,
Wed Dec 23 2020,Shanxi Loongs,106,,Zhejiang Golden Bulls,94,,OT,
Thu Dec 24 2020,Qingdao Eagles,110,,Liaoning Flying Leopards,113,,,
Thu Dec 24 2020,Jiangsu Dragons,83,,Shandong Heroes,91,,,
Thu Dec 24 2020,Beijing Ducks,84,,Shenzhen Aviators,100,,,
Thu Dec 24 2020,Shanxi Loongs,106,,Zhejiang Golden Bulls,94,,,
Fri Dec 25 2020,Sichuan Blue Whales,105,,Beijing Royal Fighters,109,,,
Fri Dec 25 2020,Guangdong Southern Tigers,125,,Fujian Sturgeons,110,,,
Fri Dec 25 2020,Jilin Northeast Tigers,102,,Shanghai Sharks,107,,,
Fri Dec 25 2020,Shandong Heroes,107,,Shenzhen Aviators,110,,,
Sat Dec 26 2020,Shanxi Loongs,110,,Liaoning Flying Leopards,125,,,
Sat Dec 26 2020,Jilin Northeast Tigers,102,,Shanghai Sharks,107,,,
Sat Dec 26 2020,Shandong Heroes,107,,Shenzhen Aviators,110,,,
Sat Dec 26 2020,Zhejiang Lions,133,,Tianjin Pioneers,136,,OT,
Sat Dec 26 2020,Nanjing Monkey Kings,94,,Xinjiang Flying Tigers,119,,,
Sun Dec 27 2020,Shanghai Sharks,117,,Guangdong Southern Tigers,92,,,
Sun Dec 27 2020,Zhejiang Golden Bulls,108,,Guangzhou Loong Lions,104,,,
Sun Dec 27 2020,Beijing Ducks,100,,Jiangsu Dragons,95,,,
Sun Dec 27 2020,Fujian Sturgeons,131,,Nanjing Monkey Kings,116,,,
Mon Dec 28 2020,Guangzhou Loong Lions,100,,Beijing Ducks,102,,,
Mon Dec 28 2020,Shanghai Sharks,117,,Guangdong Southern Tigers,92,,,
Mon Dec 28 2020,Shenzhen Aviators,114,,Jiangsu Dragons,95,,,
Mon Dec 28 2020,Fujian Sturgeons,131,,Nanjing Monkey Kings,116,,,
Mon Dec 28 2020,Sichuan Blue Whales,110,,Tianjin Pioneers,112,,,
Mon Dec 28 2020,Beijing Royal Fighters,97,,Xinjiang Flying Tigers,113,,,
Mon Dec 28 2020,Jilin Northeast Tigers,123,,Zhejiang Lions,98,,,
Tue Dec 29 2020,Guangzhou Loong Lions,100,,Beijing Ducks,102,,,
Tue Dec 29 2020,Zhejiang Lions,130,,Fujian Sturgeons,102,,,
Tue Dec 29 2020,Shenzhen Aviators,114,,Jiangsu Dragons,95,,,
Tue Dec 29 2020,Liaoning Flying Leopards,122,,Shandong Heroes,109,,,
Tue Dec 29 2020,Xinjiang Flying Tigers,103,,Sichuan Blue Whales,98,,,
Tue Dec 29 2020,Qingdao Eagles,120,,Zhejiang Golden Bulls,127,,,
Wed Dec 30 2020,Guangdong Southern Tigers,127,,Beijing Royal Fighters,96,,,
Wed Dec 30 2020,Zhejiang Lions,130,,Fujian Sturgeons,102,,,
Wed Dec 30 2020,Shanghai Sharks,110,,Nanjing Monkey Kings,83,,,
Wed Dec 30 2020,Xinjiang Flying Tigers,103,,Sichuan Blue Whales,98,,,
Thu Dec 31 2020,Shandong Heroes,117,,Guangzhou Loong Lions,115,,,
Thu Dec 31 2020,Jiangsu Dragons,119,,Liaoning Flying Leopards,112,,,
Fri Jan 1 2021,Zhejiang Golden Bulls,99,,Beijing Ducks,109,,,
Fri Jan 1 2021,Tianjin Pioneers,108,,Jilin Northeast Tigers,114,,,
Fri Jan 1 2021,Shanxi Loongs,105,,Qingdao Eagles,102,,OT,
Fri Jan 1 2021,Nanjing Monkey Kings,100,,Zhejiang Lions,113,,,
Sat Jan 2 2021,Beijing Ducks,86,,Shandong Heroes,89,,,
Sat Jan 2 2021,Sichuan Blue Whales,102,,Shanghai Sharks,122,,,
Sat Jan 2 2021,Shanxi Loongs,93,,Shenzhen Aviators,116,,,
Sat Jan 2 2021,Guangdong Southern Tigers,132,,Xinjiang Flying Tigers,95,,,
Sat Jan 2 2021,Nanjing Monkey Kings,100,,Zhejiang Lions,113,,,
Sun Jan 3 2021,Qingdao Eagles,90,,Jiangsu Dragons,103,,,
Sun Jan 3 2021,Fujian Sturgeons,110,,Jilin Northeast Tigers,117,,,
Sun Jan 3 2021,Zhejiang Golden Bulls,116,,Liaoning Flying Leopards,129,,,
Sun Jan 3 2021,Beijing Ducks,86,,Shandong Heroes,89,,,
Sun Jan 3 2021,Shanxi Loongs,93,,Shenzhen Aviators,116,,,
Sun Jan 3 2021,Beijing Royal Fighters,99,,Tianjin Pioneers,96,,,
Wed Jan 6 2021,Zhejiang Lions,101,,Beijing Royal Fighters,94,,,
Wed Jan 6 2021,Liaoning Flying Leopards,124,,Shanxi Loongs,87,,,
Thu Jan 7 2021,Zhejiang Lions,101,,Beijing Royal Fighters,94,,,
Thu Jan 7 2021,Sichuan Blue Whales,111,,Nanjing Monkey Kings,97,,,
Thu Jan 7 2021,Fujian Sturgeons,110,,Shanghai Sharks,98,,,
Thu Jan 7 2021,Liaoning Flying Leopards,124,,Shanxi Loongs,87,,,
Thu Jan 7 2021,Guangzhou Loong Lions,103,,Shenzhen Aviators,112,,,
Thu Jan 7 2021,Tianjin Pioneers,106,,Xinjiang Flying Tigers,119,,,
Fri Jan 8 2021,Qingdao Eagles,75,,Beijing Ducks,78,,,
Fri Jan 8 2021,Jilin Northeast Tigers,111,,Guangdong Southern Tigers,110,,,
Fri Jan 8 2021,Jiangsu Dragons,110,,Zhejiang Golden Bulls,129,,,
Sat Jan 9 2021,Shanghai Sharks,96,,Beijing Royal Fighters,122,,,
Sat Jan 9 2021,Jiangsu Dragons,89,,Guangzhou Loong Lions,90,,,
Sat Jan 9 2021,Liaoning Flying Leopards,112,,Qingdao Eagles,94,,,
