Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
11,Sun,2019-12-08,14:45 (07:45),Lyon,6–0,Metz,932,Groupama OL Academy Décines-Charpieu ,Savina Elbour,Match Report,
,,,,,,,,,,,
12,Sat,2019-12-14,14:30 (07:30),Ol. Marseille,1–4,Bordeaux,207,Stade Paul Le Cesne,Solenne Bartnik,Match Report,
12,Sat,2019-12-14,14:30 (07:30),Guingamp,1–1,Stade de Reims,270,Stade Centre Formation EAG 1,Savina Elbour,Match Report,
12,Sat,2019-12-14,15:30 (08:30),Lyon,2–0,Dijon,897,Groupama OL Academy Décines-Charpieu ,Victoria Beyer,Match Report,
12,Sun,2019-12-15,14:45 (07:45),Metz,0–3,Montpellier,160,Stade Dezavelle,Stéphanie Di Benedetto,Match Report,
12,Sun,2019-12-15,14:45 (07:45),Paris FC,0–3,Paris S-G,"2,174",Stade Sébastien Charléty,Elodie Coppola,Match Report,
,,,,,,,,,,,
13,Sat,2020-01-18,14:30 (07:30),Fleury,0–2,Guingamp,417,Stade Robert Bobin,Jennifer Maubacq,Match Report,
13,Sat,2020-01-18,14:30 (07:30),Dijon,1–4,Soyaux,715,Stade des Poussots 1,Emeline Rochebiliere,Match Report,
13,Sat,2020-01-18,14:30 (07:30),Montpellier,1–2,Paris FC,171,Stade Bernard Gasset Terrain n°7,Maika Vanderstichel,Match Report,
13,Sat,2020-01-18,14:30 (07:30),Stade de Reims,1–0,Metz,197,Stade Louis Blériot N°1,Justine Catania,Match Report,
13,Sat,2020-01-18,15:45 (08:45),Paris S-G,11–0 ,Ol. Marseille,"3,536",Stade Jean-Bouin,Victoria Beyer,Match Report,
13,Sun,2020-01-19,15:00 (08:00),Bordeaux,0–0,Lyon,"1,821",Stade Sainte-Germaine,Stéphanie Di Benedetto,Match Report,
,,,,,,,,,,,
14,Sat,2020-01-25,15:30 (08:30),Paris FC,1–0,Soyaux,191,Stade Robert Bobin,Gabrielle Guillot,Match Report,
14,Sat,2020-01-25,15:30 (08:30),Guingamp,3–1,Ol. Marseille,393,Stade du Roudourou,Stéphanie Di Benedetto,Match Report,
14,Sat,2020-01-25,15:30 (08:30),Montpellier,3–0,Fleury,163,Stade Bernard Gasset Terrain n°7,Savina Elbour,Match Report,
14,Sat,2020-01-25,15:30 (08:30),Bordeaux,1–0,Dijon,633,Stade Sainte-Germaine,Jennifer Maubacq,Match Report,
14,Sat,2020-01-25,15:30 (08:30),Paris S-G,5–1,Metz,503,Stade Municipal Georges Lefèvre,Camille Soriano,Match Report,
14,Sun,2020-01-26,17:00 (10:00),Lyon,5–0,Stade de Reims,"1,060",Groupama OL Academy Décines-Charpieu ,Victoria Beyer,Match Report,
,,,,,,,,,,,
15,Sat,2020-02-08,14:30 (07:30),Stade de Reims,1–7,Montpellier,201,Stade Louis Blériot N°1,Savina Elbour,Match Report,
15,Sat,2020-02-08,14:30 (07:30),Dijon,0–4,Paris FC,770,Stade des Poussots 1,Florence Guillemin,Match Report,
15,Sat,2020-02-08,14:30 (07:30),Metz,0–0,Guingamp,169,Stade Dezavelle,Alexandra Collin,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
15,Sat,2020-02-08,14:30 (07:30),Fleury,0–2,Bordeaux,337,Stade Auguste Gentelet,Victoria Beyer,Match Report,
15,Sat,2020-02-08,15:30 (08:30),Ol. Marseille,0–8,Lyon,266,Stade Paul Le Cesne,Jennifer Maubacq,Match Report,
15,Sun,2020-02-09,14:00 (07:00),Soyaux,0–3,Paris S-G,642,Stade Lebon 1,Elodie Coppola,Match Report,
,,,,,,,,,,,
12,Sun,2020-02-16,14:30 (07:30),Soyaux,0–1,Fleury,301,Stade Lebon 1,Florence Guillemin,Match Report,
,,,,,,,,,,,
16,Sat,2020-02-22,14:30 (07:30),Metz,1–2,Dijon,227,Stade Dezavelle,Stéphanie Di Benedetto,Match Report,
16,Sat,2020-02-22,14:30 (07:30),Ol. Marseille,2–3,Fleury,223,Stade Paul Le Cesne,Solenne Bartnik,Match Report,
16,Sat,2020-02-22,14:30 (07:30),Paris FC,0–0,Stade de Reims,319,Stade Robert Bobin,Florence Guillemin,Match Report,
16,Sat,2020-02-22,14:30 (07:30),Guingamp,1–4,Paris S-G,798,Stade Centre Formation EAG 1,Victoria Beyer,Match Report,
16,Sat,2020-02-22,16:00 (09:00),Soyaux,0–4,Bordeaux,444,Stade Lebon 1,Alexandra Collin,Match Report,
16,Sun,2020-02-23,14:15 (07:15),Lyon,5–0,Montpellier,"1,328",Groupama OL Academy Décines-Charpieu ,Camille Soriano,Match Report,
