Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Wed,2014-06-11,19:00 (18:00),Boston,2–0,Spirit,"1,429",,Timon Berry,Match Report,
Wed,2014-06-11,19:00 ,Dash,2–1,Flash,"4,483",BBVA Compass Stadium,Matthew Mercier,Match Report,
Sat,2014-06-14,19:00 ,Dash,1–2,Kansas City,"3,852",BBVA Compass Stadium,Bernhard Hosu,Match Report,
Sun,2014-06-15,19:00 ,Red Stars,2–2,Sky Blue,"1,211",,Juliana Duncan,Match Report,
Sun,2014-06-15,19:00 (21:00),Thorns,2–0,Spirit,"10,056",Providence Park,Michael Zapata,Match Report,
Wed,2014-06-18,19:00 (18:00),Flash,2–0,Red Stars,"1,786",,Mark Allatin,Match Report,
Thu,2014-06-19,19:00 (18:00),Boston,0–2,Reign,"2,714",,David Mon,Match Report,
Sat,2014-06-21,19:00 (18:00),Spirit,1–6,Thorns,"3,806",Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,
Sun,2014-06-22,19:00 (18:00),Sky Blue,1–1,Boston,"1,212",,Greg Dopka,Match Report,
Sun,2014-06-22,19:00 (18:00),Flash,1–2,Reign,"3,444",,Boris Senic,Match Report,
Sat,2014-06-21,19:00 ,Kansas City,1–0,Red Stars,"1,493",,Christina Unkel,Match Report,
Wed,2014-06-25,19:00 (21:00),Thorns,1–2,Sky Blue,"10,477",Providence Park,Bernhard Hosu,Match Report,
Fri,2014-06-27,19:00 (18:00),Flash,2–1,Boston,"2,837",,Christina Unkel,Match Report,
Sat,2014-06-28,19:00 (21:00),Reign,0–0,Sky Blue,"5,770",,Christopher Spivey,Match Report,
Sat,2014-06-28,19:00 ,Dash,0–1,Spirit,"4,050",BBVA Compass Stadium,Margaret Domka,Match Report,
Sat,2014-06-28,19:00 ,Kansas City,1–0,Thorns,"2,421",,Josh Wilkens,Match Report,
Wed,2014-07-02,19:00 (18:00),Spirit,3–3,Boston,"2,673",Maureen Hendricks Field at Maryland Socc...,Dimitar Chavdarov,Match Report,
Wed,2014-07-02,19:00 (18:00),Flash,1–2,Reign,"3,789",,Greg Dopka,Match Report,
Fri,2014-07-04,19:00 (21:00),Thorns,2–2,Red Stars,"13,084",Providence Park,Timon Berry,Match Report,
Sat,2014-07-05,19:00 ,Dash,1–4,Flash,"3,693",BBVA Compass Stadium,Katja Koroleva,Match Report,
Sun,2014-07-06,19:00 (18:00),Sky Blue,0–5,Kansas City,"1,349",,Margaret Domka,Match Report,
Sun,2014-07-06,19:00 (21:00),Reign,3–2,Boston,"3,705",,Mark Allatin,Match Report,
Wed,2014-07-09,19:00 ,Red Stars,1–1,Thorns,"2,101",,Boris Senic,Match Report,
Fri,2014-07-11,19:00 ,Dash,2–1,Boston,"4,063",BBVA Compass Stadium,Bernhard Hosu,Match Report,
Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sat,2014-07-12,19:00 (18:00),Flash,0–1,Spirit,"3,134",,Christopher Spivey,Match Report,
Sat,2014-07-12,19:00 ,Red Stars,1–0,Reign,"3,032",,Margaret Domka,Match Report,
Sun,2014-07-13,19:00 (21:00),Thorns,7–1,Kansas City,"9,672",Providence Park,Christina Unkel,Match Report,
Thu,2014-07-17,19:00 ,Red Stars,1–1,Thorns,"2,014",,Josh Wilkens,Match Report,
Fri,2014-07-18,19:00 (18:00),Flash,1–1,Kansas City,"2,916",,Elvis Mahmutovic,Match Report,
Thu,2014-07-17,19:00 ,Dash,1–1,Spirit,"3,561",BBVA Compass Stadium,Michael Zapata,Match Report,
Sun,2014-07-20,19:00 (18:00),Sky Blue,4–2,Spirit,"1,740",,Bernhard Hosu,Match Report,
Sun,2014-07-20,19:00 (21:00),Reign,1–1,Red Stars,"3,030",,David Mon,Match Report,
Sun,2014-07-20,19:00 (21:00),Thorns,6–3,Boston,"14,383",Providence Park,Margaret Domka,Match Report,
Wed,2014-07-23,19:00 (18:00),Spirit,1–1,Thorns,"3,854",Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,
Fri,2014-07-25,19:00 (18:00),Flash,2–4,Boston,"3,081",,Timon Berry,Match Report,
Sat,2014-07-26,19:00 ,Red Stars,0–0,Dash,"1,494",,Christina Unkel,Match Report,
Sun,2014-07-27,19:00 (21:00),Reign,5–0,Thorns,"5,957",,Boris Senic,Match Report,
Sun,2014-07-27,19:00 ,Kansas City,2–1,Sky Blue,"1,852",,David Mon,Match Report,
