Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
11,Sat,2018-12-22,14:30 (07:30),Atalanta,1–0,Pink Bari,150,Stadio Comunale,Filippo Giaccaglia,Match Report,
11,Sat,2018-12-22,14:30 (07:30),ChievoVerona,2–5,AC Milan,250,Stadio AGSM Olivieri,Simone Piazzini,Match Report,
11,Sun,2018-12-23,12:30 (05:30),AS Roma,0–0,Fiorentina,500,Stadio Tre Fontane,Tommaso Zamagni,Match Report,
,,,,,,,,,,,
12,Sat,2019-01-05,14:30 (07:30),Florentia,3–1,AGSM Verona,250,Stadio Goffredo Del Buffa,Giorgio Vergaro,Match Report,
12,Sat,2019-01-05,14:30 (07:30),Orobica Calcio,3–3,Tavagnacco,200,Stadio Giacinto Facchetti,Gabriele Restaldo,Match Report,
12,Sat,2019-01-05,14:30 (07:30),Atalanta,0–6,Fiorentina,300,Stadio Comunale,Francesco Croce,Match Report,
12,Sat,2019-01-05,14:30 (07:30),AC Milan,8–0,Pink Bari,200,Centro Sportivo Peppino Vismara,Niccolò Turrini,Match Report,
12,Sun,2019-01-06,12:30 (05:30),ChievoVerona,0–2,Juventus,300,Stadio AGSM Olivieri,Graziella Pirriatore,Match Report,
12,Sun,2019-01-06,15:00 (08:00),AS Roma,2–1,Sassuolo,300,Stadio Tre Fontane,Maria Sole Ferrieri Caputi,Match Report,
,,,,,,,,,,,
13,Sat,2019-01-12,12:30 (05:30),Tavagnacco,0–5,AS Roma,250,Stadio Comunale di Tavagnacco,Antonio Costanza,Match Report,
13,Sat,2019-01-12,14:30 (07:30),Pink Bari,3–1,ChievoVerona,200,Stadio Antonio Antonacci,Alessio De Vincentis,Match Report,
13,Sat,2019-01-12,14:30 (07:30),Sassuolo,0–0,Atalanta,250,Stadio Città del Tricolore,Ivan Catallo,Match Report,
13,Sat,2019-01-12,14:30 (07:30),AGSM Verona,4–2,Orobica Calcio,250,Stadio AGSM Olivieri,Luca Cherchi,Match Report,
13,Sat,2019-01-12,17:00 (10:00),Juventus,3–0,Florentia,350,Juventus Training Center,Salvatore Morabito,Match Report,
13,Sun,2019-01-13,12:30 (05:30),Fiorentina,4–0,AC Milan,750,Stadio Comunale Gino Bozzi,Michele Delrio,Match Report,
,,,,,,,,,,,
14,Sat,2019-01-26,14:30 (07:30),Pink Bari,0–2,Fiorentina,250,Stadio Antonio Antonacci,Stefano Campagnolo,Match Report,
14,Sat,2019-01-26,14:30 (07:30),Orobica Calcio,0–5,Juventus,250,Stadio Centro Sportivo Flaminio,Marco Emmanuele,Match Report,
14,Sat,2019-01-26,14:30 (07:30),AS Roma,2–1,AGSM Verona,300,Stadio Tre Fontane,Graziella Pirriatore,Match Report,
14,Sat,2019-01-26,14:30 (07:30),ChievoVerona,5–0,Florentia,250,Stadio AGSM Olivieri,Mattia Caldera,Match Report,
14,Sat,2019-01-26,14:30 (07:30),Atalanta,2–2,Tavagnacco,150,Stadio Comunale,Ilaria Bianchini,Match Report,
14,Sun,2019-01-27,12:30 (05:30),AC Milan,5–2,Sassuolo,300,Centro Sportivo Peppino Vismara,Matteo Dallapiccola,Match Report,
,,,,,,,,,,,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
15,Sat,2019-02-02,14:30 (07:30),AGSM Verona,0–1,Atalanta,200,Stadio AGSM Olivieri,Emanuele Frascaro,Match Report,
15,Sat,2019-02-02,14:30 (07:30),Tavagnacco,1–3,AC Milan,300,Stadio Comunale di Tavagnacco,Emanuele Bracaccini,Match Report,
15,Sat,2019-02-02,14:30 (07:30),Florentia,3–1,Orobica Calcio,200,Stadio Goffredo Del Buffa,Giorgio Vergaro,Match Report,
15,Sat,2019-02-02,14:30 (07:30),Fiorentina,2–0,ChievoVerona,200,Stadio Comunale Gino Bozzi,Giuseppe Monaco,Match Report,
15,Sun,2019-02-03,12:30 (05:30),Juventus,1–0,AS Roma,400,Juventus Training Center,Gabriele Scatena,Match Report,
,,,,,,,,,,,
3,Tue,2019-02-05,14:30 (07:30),Fiorentina,8–0,Pink Bari,200,Stadio Comunale Gino Bozzi,Luca Zucchetti,Match Report,
,,,,,,,,,,,
