Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Nov 18 2006,8:00p,New Orleans/Oklahoma City Hornets,99,Minnesota Timberwolves,96,Box Score,,16151,Target Center,
Sat Nov 18 2006,8:30p,Memphis Grizzlies,84,Dallas Mavericks,89,Box Score,,20535,American Airlines Center,
Sat Nov 18 2006,8:30p,Indiana Pacers,102,Milwaukee Bucks,100,Box Score,,16165,Bradley Center,
Sat Nov 18 2006,9:00p,Toronto Raptors,109,Denver Nuggets,117,Box Score,,15531,Pepsi Center,
Sat Nov 18 2006,9:00p,Phoenix Suns,117,Utah Jazz,120,Box Score,OT,19911,EnergySolutions Arena,
Sat Nov 18 2006,10:30p,Seattle SuperSonics,95,Golden State Warriors,107,Box Score,,17205,Oracle Arena,
Sat Nov 18 2006,10:30p,Philadelphia 76ers,97,Los Angeles Clippers,103,Box Score,OT,18470,STAPLES Center,
Sun Nov 19 2006,8:00p,Chicago Bulls,72,Los Angeles Lakers,82,Box Score,,18997,STAPLES Center,
Sun Nov 19 2006,9:00p,San Antonio Spurs,108,Sacramento Kings,99,Box Score,,17317,ARCO Arena (II),
Mon Nov 20 2006,7:00p,Dallas Mavericks,93,Charlotte Bobcats,85,Box Score,,13237,Charlotte Bobcats Arena,
Mon Nov 20 2006,7:30p,Houston Rockets,97,New York Knicks,90,Box Score,,17533,Madison Square Garden (IV),
Mon Nov 20 2006,8:00p,Orlando Magic,86,Memphis Grizzlies,95,Box Score,,13147,FedEx Forum,
Mon Nov 20 2006,9:00p,Toronto Raptors,96,Utah Jazz,101,Box Score,,18881,EnergySolutions Arena,
Mon Nov 20 2006,10:00p,San Antonio Spurs,107,Portland Trail Blazers,98,Box Score,,14163,Rose Garden Arena,
Mon Nov 20 2006,10:00p,New Jersey Nets,87,Seattle SuperSonics,99,Box Score,,14621,KeyArena at Seattle Center,
Mon Nov 20 2006,10:30p,Phoenix Suns,113,Golden State Warriors,110,Box Score,,18078,Oracle Arena,
Tue Nov 21 2006,7:00p,Memphis Grizzlies,94,Cleveland Cavaliers,97,Box Score,,20562,Quicken Loans Arena,
Tue Nov 21 2006,7:00p,Milwaukee Bucks,88,Indiana Pacers,93,Box Score,,17235,Conseco Fieldhouse,
Tue Nov 21 2006,7:00p,Detroit Pistons,97,Philadelphia 76ers,87,Box Score,,13567,Wachovia Center,
Tue Nov 21 2006,8:00p,Miami Heat,86,New Orleans/Oklahoma City Hornets,101,Box Score,,19329,Ford Center,
Tue Nov 21 2006,8:30p,Washington Wizards,80,Dallas Mavericks,107,Box Score,,20080,American Airlines Center,
Tue Nov 21 2006,9:00p,Chicago Bulls,109,Denver Nuggets,113,Box Score,,16172,Pepsi Center,
Tue Nov 21 2006,10:30p,Los Angeles Clippers,101,Los Angeles Lakers,105,Box Score,,18997,STAPLES Center,
Wed Nov 22 2006,7:00p,Boston Celtics,83,Charlotte Bobcats,92,Box Score,,14129,Charlotte Bobcats Arena,
Wed Nov 22 2006,7:00p,Indiana Pacers,91,Orlando Magic,96,Box Score,,17451,Amway Arena,
Wed Nov 22 2006,7:00p,Cleveland Cavaliers,87,Toronto Raptors,95,Box Score,,19800,Air Canada Centre,
Wed Nov 22 2006,7:30p,Atlanta Hawks,98,Detroit Pistons,103,Box Score,,22076,The Palace of Auburn Hills,
Wed Nov 22 2006,7:30p,Miami Heat,86,San Antonio Spurs,106,Box Score,,18797,AT&T Center,
Wed Nov 22 2006,8:00p,Philadelphia 76ers,94,Milwaukee Bucks,98,Box Score,,15936,Bradley Center,
Wed Nov 22 2006,8:00p,New York Knicks,89,Minnesota Timberwolves,107,Box Score,,15991,Target Center,
Wed Nov 22 2006,8:30p,Washington Wizards,82,Houston Rockets,86,Box Score,,15300,Toyota Center,
Wed Nov 22 2006,9:00p,New Orleans/Oklahoma City Hornets,83,Phoenix Suns,92,Box Score,,18422,US Airways Center,
Wed Nov 22 2006,10:00p,New Jersey Nets,97,Portland Trail Blazers,100,Box Score,,13340,Rose Garden Arena,
Wed Nov 22 2006,10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,17317,ARCO Arena (II),
Wed Nov 22 2006,10:30p,Denver Nuggets,115,Golden State Warriors,112,Box Score,,17505,Oracle Arena,
